Input,Category,Description,Choices,Default Value,Ref
land_use_analysis,Postprocessing/export - Pipeline toggle,switch to turn on/off land-use analysis. Requires the `reeds_to_rev` switch also be activated,0; 1,0,
pcm,Postprocessing/dispatch - Pipeline toggle,Rerun final solve year in dispatch mode at 1-hour resolution after the CEM run finishes (submits a new bigmem job if on the HPC),0; 1,0,
plot_ba_level,Postprocessing/export - Pipeline toggle,0=do not plot or output BA-level year-by-month plots; 1=plot and output BA-level year-by-month plots.,0; 1,0,
pras,PRAS/resource adequacy - Pipeline toggle,Indicate whether to run PRAS for 2007-2013 between each pair of solve years (0=never; 1=just the final solve year; 2=always),0; 1; 2,2,
pras_agg_ogs_lfillgas,Resource adequacy / PRM / PRAS,Aggregate existing o-g-s and landfill gas units to the capacity assumed for new units (from unitsize.csv),0; 1,0,
pras_existing_unit_size,Resource adequacy / PRM / PRAS,Use the average size of existing units by tech/region when disaggregating new capacity (otherwise use capacities from unitsize.csv for all new units),0; 1,1,
pras_hydro_energylim,Resource adequacy / PRM / PRAS,Whether to model hydro as energy-limited in PRAS (1) or like a thermal generator (0),0; 1,1,
pras_include_h2dac,Resource adequacy / PRM / PRAS,Indicate whether to include (1) demand associated with H2 production & DAC in PRAS,0; 1,0,
pras_max_unitsize_prm,Resource adequacy / PRM / PRAS,Cap the upper bound of disaggregated unit size by zone at the zonal PRM in MW,0; 1,1,
pras_samples,PRAS/resource adequacy - Pipeline toggle,Indicate how many Monte Carlo samples to use in PRAS (if 0 then the .pras file is generated but PRAS is not run),int,100,
pras_scheduled_outage,Resource adequacy / PRM / PRAS,Include scheduled outages in PRAS (if 0 then a default outage rate of 0 is applied),0; 1,0,
pras_seed,Resource adequacy / PRM / PRAS,Seed to use for PRAS samples; can be any positive integer. If 0 the seed is set randomly,int,1,
pras_singlethread,Resource adequacy / PRM / PRAS,Force single-thread operation for PRAS (much slower but sometimes helps avoid Julia hangs and errors),^[0-1]$,0,
pras_trans_contingency,Resource adequacy / PRM / PRAS,Indicate whether to use n-0 (0) or n-1 (1) transmission capacities in PRAS,0; 1,0,
pras_unitsize_source,Resource adequacy / PRM / PRAS,Data source for characteristic unit sizes in ReESD2PRAS,atb; r2x,atb,
pras_vre_combine,Resource adequacy / PRM / PRAS,Combine VRE into a single VRE tech in ReEDS2PRAS,0; 1,0,
reeds_to_rev,Postprocessing/export - Pipeline toggle,switch to turn on/off ReV outputs,0; 1,1,
resource_adequacy_years,Resource adequacy / PRM / PRAS,_-delimited years to include in resource adequacy calculations,N/A,2007_2008_2009_2010_2011_2012_2013_2016_2017_2018_2019_2020_2021_2022_2023,
MCS_runs,Monte Carlo - Pipeline toggle,Number of Monte Carlo simulation runs. Set to 0 to disable MCS. Set to an integer N > 0 to run N ReEDS simulations with sampling.,int,0,
MCS_dist,Monte Carlo / sampling,Name of the `.yaml` file defining the MCS distributions. Use 'default' or a string beginning with 'user' to reference `inputs/userinput/mcs_distributions_{MCS_dist}.yaml`,N/A,default,
MCS_dist_groups,Monte Carlo / sampling,Define the distribution groups to use in a Monte Carlo Simulation. Each entry should refer to a key from `inputs/userinput/mcs_distributions_{MCS_dist}.yaml` with multiple entries separated by a dot (e.g. Example1.Example2.Example3),N/A,tech,
